Product Name,Sales_totales,Porcentaje,Porcentaje_acumulado,ABC,mean,std,cv,XYZ,ABC_XYZ
Canon imageCLASS 2200 Advanced Copier,61599.824,2.723803763494719,2.723803763494719,A,12319.9648,3520.92731536753,28.57903713627112,Z,AZ
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384000000002,1.2139260440072965,3.9377298075020155,A,2745.3384,1851.7529005491706,67.45080681307523,Z,AZ
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,1.0010219675919843,4.9387517750939995,A,22638.48,,,Z,AZ
HON 5400 Series Task Chairs for Big and Tall,21870.576,0.9670670036102259,5.905818778704226,A,2733.822,1212.397258726693,44.34806870113317,Z,AZ
GBC DocuBind TL300 Electric Binding System,19823.479,0.8765490418569789,6.782367820561205,A,1802.1344545454544,1032.4776075008467,57.29192984999916,Z,AZ
GBC Ibimaster 500 Manual ProClick Binding System,19024.5,0.8412200122293415,7.623587832790546,A,2113.8333333333335,2937.1210234821783,138.9476160284875,Z,AZ
Hewlett Packard LaserJet 3310 Copier,18839.686,0.8330479585438227,8.456635791334369,A,2354.96075,1463.9720871737716,62.16545592845959,Z,AZ
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.895,0.8124959602939824,9.269131751628352,A,6124.965,3154.8393382746135,51.507875363771284,Z,AZ
GBC DocuBind P400 Electric Binding System,17965.068,0.7943743448007018,10.063506096429053,A,2994.178,1677.9411627801496,56.04012729971798,Z,AZ
High Speed Automatic Electric Letter Opener,17030.311999999998,0.7530415658182606,10.816547662247315,A,5676.770666666666,2229.287257174663,39.270342032042564,Z,AZ
Lexmark MX611dhe Monochrome Laser Printer,16829.901,0.7441798483554685,11.560727510602783,A,4207.47525,2645.929446384059,62.88639360110457,Z,AZ
Martin Yale Chadless Opener Electric Letter Opener,16656.2,0.7364991861911935,12.297226696793977,A,2776.0333333333333,1742.6768976462236,62.77579151233379,Z,AZ
Ibico EPK-21 Electric Binding System,15875.916000000001,0.7019968068370785,12.999223503631056,A,5291.972000000001,3836.2607138217295,72.49208260780156,Z,AZ
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656,0.6902813042625998,13.689504807893655,A,3122.19312,1228.542324763242,39.34869745543614,Z,AZ
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,0.632308530614641,14.321813338508296,A,7149.945,2757.6952334240996,38.5694607919935,Z,AZ
Samsung Galaxy Mega 6.3,13943.668,0.6165572059965769,14.938370544504872,A,2323.9446666666668,1365.4950777857334,58.75764158121378,Z,AZ
Apple iPhone 5,12996.600000000002,0.5746800184467324,15.513050562951605,A,2166.1000000000004,1707.788187374535,78.84161337770809,Z,AZ
Bretford Rectangular Conference Table Tops,12995.2915,0.5746221595602438,16.087672722511847,A,1082.9409583333334,899.4097766092964,83.05252190234869,Z,AZ
Global Troy Executive Leather Low-Back Tilter,12975.382,0.5737418068659034,16.66141452937775,A,1441.709111111111,683.1435811578054,47.38428687818401,Z,AZ
SAFCO Arco Folding Chair,11572.78,0.5117219444993287,17.17313647387708,A,890.2138461538462,432.19693955299397,48.54978850534548,Z,AZ
Cubify CubeX 3D Printer Double Head Print,11099.963,0.4908150548295744,17.663951528706654,A,3699.9876666666664,1652.2656566152832,44.65597741042785,Z,AZ
DMI Eclipse Executive Suite Bookcases,11046.609,0.48845586260205287,18.152407391308707,A,1841.1015,1570.374532285308,85.29538063410996,Z,AZ
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36,0.4785400831322945,18.630947474441,A,1082.236,690.1487030134238,63.77062886592423,Z,AZ
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.528,0.4703672335278175,19.101314707968818,A,886.4606666666667,508.5237643427624,57.365632053924074,Z,AZ
Logitech P710e Mobile Speakerphone,10196.604,0.45087057959882004,19.55218528756764,A,1132.956,910.0004067301288,80.32089566851042,Z,AZ
Tennsco 6- and 18-Compartment Lockers,10076.46,0.44555808585920625,19.997743373426847,A,1007.646,544.298701479252,54.016857257335616,Z,AZ
Tennsco Double-Tier Lockers,9630.856,0.425854493001079,20.423597866427926,A,802.5713333333333,389.9035140799308,48.581789292241204,Z,AZ
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9587.052,0.42391757999859825,20.847515446426524,A,2396.763,1332.6428322472605,55.601777574472756,Z,AZ
Plantronics Savi W720 Multi-Device Wireless Headset System,9367.289999999999,0.41420020543802927,21.261715651864552,A,1338.1842857142856,468.41789689183673,35.00399024950501,Z,AZ
Bady BDG101FRU Card Printer,9279.884,0.4103353114124876,21.67205096327704,A,2319.971,1142.6142657099988,49.25123054167482,Z,AZ
Tennsco Single-Tier Lockers,9158.296,0.40495896728533887,22.07700993056238,A,1144.787,613.4746661109976,53.58854233241621,Z,AZ
GuestStacker Chair with Chrome Finish Legs,9070.944,0.40109646101667173,22.47810639157905,A,1133.868,735.7789598389684,64.89105961531398,Z,AZ
Canon Imageclass D680 Copier / Fax,8959.872,0.39618511043198684,22.874291502011037,A,1791.9743999999998,1230.0718549372637,68.64338323902751,Z,AZ
Hewlett Packard 610 Color Digital Copier / Printer,8899.822,0.39352983635201777,23.267821338363053,A,1271.403142857143,512.2211019157738,40.28785871684194,Z,AZ
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,8899.24,0.39350410163903626,23.661325440002088,A,1271.32,576.1493433708544,45.31898683029091,Z,AZ
Wilson Electronics DB Pro Signal Booster,8878.4,0.3925826043563292,24.053908044358415,A,887.8399999999999,441.6300794908688,49.74207959664679,Z,AZ
Canon PC1060 Personal Laser Copier,8819.874,0.3899947180814871,24.4439027624399,A,2939.958,1893.8578406870988,64.41785361175563,Z,AZ
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5,0.3879883832587641,24.831891145698666,A,1096.8125,786.998372777225,71.75322790150777,Z,AZ
Global Deluxe High-Back Manager's Chair,8665.194,0.38315512116742184,25.21504626686609,A,1083.14925,775.7595794264668,71.6207465800735,Z,AZ
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8430.997,0.37279946382010254,25.58784573068619,A,1053.874625,833.1195753371674,79.05300645578855,Z,AZ
Chromcraft Round Conference Tables,8209.059,0.3629858715010321,25.950831602187222,A,631.4660769230769,481.01902616952367,76.17495915431729,Z,AZ
"Hot File 7-Pocket, Floor Stand",8138.232,0.35985406305370543,26.31068566524093,A,626.0178461538461,400.0317591220823,63.901015215430945,Z,AZ
Fellowes PB300 Plastic Comb Binding Machine,8070.192,0.35684548939173877,26.667531154632666,A,1345.032,1123.0730061092197,83.49786518902299,Z,AZ
Cubify CubeX 3D Printer Triple Head Print,7999.98,0.3537408748421502,27.021272029474815,A,7999.98,,,Z,AZ
Global Commerce Series High-Back Swivel/Tilt Chairs,7979.4400000000005,0.35283264287541316,27.374104672350228,A,886.6044444444445,333.39141542753885,37.603174393790155,Z,AZ
Okidata MB760 Printer,7834.4,0.3464193047811797,27.720523977131407,A,3917.2,791.3939095039843,20.203050891044224,Y,AY
Ativa V4110MDD Micro-Cut Shredder,7699.89,0.3404715792774887,28.060995556408894,A,3849.945,1484.9030272883144,38.56946079199351,Z,AZ
Mitel MiVoice 5330e IP Phone,7699.72,0.34046406226510584,28.401459618674,A,855.5244444444445,495.0668661815066,57.86706264167475,Z,AZ
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.374,0.33527528970577103,28.73673490837977,A,1263.729,762.7447816907043,60.356673123011674,Z,AZ
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.7122,0.33338888218295964,29.07012379056273,A,942.464025,421.338536125734,44.70606038524749,Z,AZ
Tennsco 16-Compartment Lockers with Coat Rack,7515.523999999999,0.3323193351304849,29.402443125693214,A,1503.1047999999998,645.2932360432736,42.93068826892667,Z,AZ
