Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segmento
415,6,886.156,1,1,1,111,En riesgo
232,5,925.8,1,1,1,111,En riesgo
282,6,657.316,1,1,1,111,En riesgo
415,7,861.565,1,1,1,111,En riesgo
118,5,367.548,2,1,1,211,En riesgo
114,8,200.945,2,2,1,221,En riesgo
844,9,1455.038,1,2,2,122,En riesgo
230,8,2495.3916,1,2,3,123,En riesgo
121,9,1829.896,2,2,3,223,En riesgo
501,1,161.28,1,1,1,111,En riesgo
111,5,1055.694,2,1,2,212,En riesgo
125,7,2236.128,2,1,3,213,En riesgo
534,2,88.15,1,1,1,111,En riesgo
192,10,503.968,2,2,1,221,En riesgo
105,8,744.3399999999999,2,2,1,221,En riesgo
278,4,320.54,1,1,1,111,En riesgo
327,10,658.466,1,2,1,121,En riesgo
119,9,4204.676,2,2,4,224,En riesgo
481,10,748.026,1,2,1,121,En riesgo
558,9,10501.653,1,2,5,125,En riesgo
265,8,949.4300000000001,1,2,2,122,En riesgo
336,9,2567.656,1,2,3,123,En riesgo
302,10,2186.6130000000003,1,2,3,123,En riesgo
560,7,603.876,1,1,1,111,En riesgo
659,3,415.19599999999997,1,1,1,111,En riesgo
212,3,385.516,2,1,1,211,En riesgo
203,10,1738.406,2,2,3,223,En riesgo
401,10,1679.7240000000002,1,2,2,122,En riesgo
338,5,1148.7800000000002,1,1,2,112,En riesgo
690,4,1537.236,1,1,2,112,En riesgo
365,1,16.52,1,1,1,111,En riesgo
106,7,1262.0140000000001,2,1,2,212,En riesgo
260,7,2335.586,1,1,3,113,En riesgo
131,10,1673.888,2,2,2,222,En riesgo
707,4,565.392,1,1,1,111,En riesgo
385,8,2305.712,1,2,3,123,En riesgo
436,9,287.99,1,2,1,121,En riesgo
470,4,475.9,1,1,1,111,En riesgo
162,7,537.632,2,1,1,211,En riesgo
489,7,884.64,1,1,1,111,En riesgo
232,8,844.4580000000001,1,2,1,121,En riesgo
424,8,970.1105,1,2,2,122,En riesgo
549,8,1300.076,1,2,2,122,En riesgo
352,8,156.76,1,2,1,121,En riesgo
241,10,2469.6672,1,2,3,123,En riesgo
264,6,1081.466,1,1,2,112,En riesgo
718,9,2550.874,1,2,3,123,En riesgo
699,6,2390.534,1,1,3,113,En riesgo
637,5,2012.52,1,1,3,113,En riesgo
114,9,1322.034,2,2,2,222,En riesgo
481,10,1376.792,1,2,2,122,En riesgo
811,4,1058.616,1,1,2,112,En riesgo
242,10,1204.854,1,2,2,122,En riesgo
119,6,755.602,2,1,1,211,En riesgo
161,7,944.6000000000001,2,1,2,212,En riesgo
405,8,825.9499999999999,1,2,1,121,En riesgo
105,8,923.884,2,2,1,221,En riesgo
